Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2026-01-15;45,21;45,48;44,88;45,39;45,39;507748;2541;22998788;45,2957
2026-01-14;44,78;45,39;44,74;45,27;45,27;594223;2582;26868210;45,2157
2026-01-13;45,41;45,51;44,34;44,58;44,58;474045;2450;21154728;44,626
2026-01-12;45,35;45,61;44,56;45,52;45,52;434901;2204;19731900;45,371
2026-01-09;46,14;46,16;44,76;45,27;45,27;814955;4521;36901070;45,2799
2026-01-08;46,07;46,73;46,01;46,3;46,3;479569;2835;22227421;46,3487
2026-01-07;45,69;46,45;45,62;46,2;46,2;514945;3098;23775643;46,1712
2026-01-06;45,5;45,83;45,23;45,23;45,23;525835;2477;23851158;45,3586
2026-01-05;45,51;45,64;44,92;45,4;45,4;541293;3524;24522217;45,303
2026-01-02;44,3;45,2;44,24;45,2;45,2;451827;2942;20328254;44,9912
2025-12-31;44,5;44,5;44,28;44,35;44,35;200500;878;8893268;44,3555
2025-12-30;44,25;44,65;44,1;44,6;44,6;307146;1383;13674697;44,5218
2025-12-29;44,36;44,43;44,14;44,28;44,28;329725;1645;14601058;44,2825
2025-12-24;44,4;44,52;44,24;44,3;44,3;147362;678;6535773;44,3518
2025-12-23;44,55;44,58;44,26;44,36;44,36;306302;1387;13592466;44,376
2025-12-22;44,41;44,52;44,1;44,51;44,51;436910;1878;19404414;44,4128
2025-12-19;44,7;44,94;44,3;44,56;44,56;1348059;3745;60078642;44,5668
2025-12-18;43,88;44,76;43,83;44,76;44,76;829260;3397;37010354;44,6306
2025-12-17;43,88;44,13;43,64;43,97;43,97;680939;2961;29912027;43,9276
2025-12-16;43,76;44,07;43,67;44;44;870000;3340;38246092;43,961
2025-12-15;43,3;44;43,21;43,99;43,99;703210;2592;30862610;43,8882
2025-12-12;43,56;43,75;43,03;43,15;43,15;628378;2827;27176172;43,2481
2025-12-11;43,2;43,53;43,2;43,36;43,36;573241;2291;24855974;43,3604
2025-12-10;43,56;43,63;43,11;43,13;43,13;536464;2291;23182889;43,2142
2025-12-09;43,6;43,93;43,46;43,7;43,7;605087;2599;26458356;43,7265
